
PROC PRINT: date
-------------------------------------------------------------------------------

 ID   STARTDATE     ENDDATE
---  ----------  ----------
001  2020-03-27  2020-03-27
002  2020-03-13  2020-03-17
003  2020-03-04  2020-03-10

-------------------------------------------------------------------------------

PROC PRINT: date2
-------------------------------------------------------------------------------

 ID     NEWDATE
---  ----------
001  2020-03-27
002  2020-03-13
002  2020-03-14
002  2020-03-15
002  2020-03-16
002  2020-03-17
003  2020-03-04
003  2020-03-05
003  2020-03-06
003  2020-03-07
003  2020-03-08
003  2020-03-09
003  2020-03-10

-------------------------------------------------------------------------------

